SKU,Name,Regular price,Description,Categories,Images
laptop-asus-vivobook-s14-s3407va-ly046w,Laptop ASUS Vivobook S14 S3407VA-LY046W,17290000,Xem chi tiết: https://cellphones.com.vn/laptop-asus-vivobook-s14-s3407va-ly046w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_744_2__4.png"
laptop-hp-pavilion-15-eg3095tu-8c5l6pa-16gb,Laptop HP Pavilion 15-EG3095TU 8C5L6PA V2,16390000,Xem chi tiết: https://cellphones.com.vn/laptop-hp-pavilion-15-eg3095tu-8c5l6pa-16gb.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_5__2.png"
laptop-asus-vivobook-14-x1405va-ly623w,Laptop ASUS Vivobook 14 X1405VA-LY623W,14890000,Xem chi tiết: https://cellphones.com.vn/laptop-asus-vivobook-14-x1405va-ly623w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_808.png"
laptop-lenovo-thinkpad-e14-gen-7-21t90021va,Laptop Lenovo ThinkPad E14 Gen 7 21T90021VA,23490000,Xem chi tiết: https://cellphones.com.vn/laptop-lenovo-thinkpad-e14-gen-7-21t90021va.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_744_1_65.png"
laptop-asus-vivobook-15-oled-a1505va-ma505w,Laptop ASUS Vivobook 15 OLED A1505VA-MA505W,16490000,Xem chi tiết: https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505va-ma505w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_856.png"
laptop-masstel-e140,Laptop Masstel E140 Celeron,3590000,Xem chi tiết: https://cellphones.com.vn/laptop-masstel-e140.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//t/e/text_ng_n_8__4_54.png"
apple-macbook-air-13-m4-10cpu-10gpu-16gb-512gb-2025-sac-70w,MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GB Sạc 70W | Chính hãng Apple Việt Nam,31290000,Xem chi tiết: https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-10gpu-16gb-512gb-2025-sac-70w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//m/a/macbook_1__4_1_2.png"
laptop-hp-15-fd0305tu-a2nl6pa,Laptop HP 15-FD0305TU A2NL6PA,9990000,Xem chi tiết: https://cellphones.com.vn/laptop-hp-15-fd0305tu-a2nl6pa.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//t/e/text_ng_n_17__8_69.png"
laptop-acer-swift-go-14-ai-sfg14-73-71zx,Laptop Acer Swift Go 14 AI SFG14-73-71ZX NX.KSLSV.002 ,24290000,Xem chi tiết: https://cellphones.com.vn/laptop-acer-swift-go-14-ai-sfg14-73-71zx.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_565_29_.png"
apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB | Chính hãng Apple Việt Nam,29890000,Xem chi tiết: https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//m/a/macbook_3__15.png"
laptop-asus-vivobook-s-14-flip-tp3402va-lz632w,Laptop ASUS Vivobook S 14 FLIP TP3402VA-LZ632W,17690000,Xem chi tiết: https://cellphones.com.vn/laptop-asus-vivobook-s-14-flip-tp3402va-lz632w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_789.png"
macbook-air-m3-13-inch-2024,MacBook Air M3 13 inch 2024 8GB - 256GB | Chính hãng Apple Việt Nam,20990000,Xem chi tiết: https://cellphones.com.vn/macbook-air-m3-13-inch-2024.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//m/a/macbook_2__5.png"
macbook-pro-m4-14-inch-10cpu-10gpu-24gb-512gb,MacBook Pro 14 M4 10CPU 10GPU 24GB 512GB | Chính hãng Apple Việt Nam,42990000,Xem chi tiết: https://cellphones.com.vn/macbook-pro-m4-14-inch-10cpu-10gpu-24gb-512gb.html,Root,"https://cdn2.cellphones.com.vn/x358,webp,q100//m/a/macbook_8.png"
laptop-asus-vivobook-15-x1504va-bq2076w,Laptop ASUS Vivobook 15 X1504VA-BQ2076W,13990000,Xem chi tiết: https://cellphones.com.vn/laptop-asus-vivobook-15-x1504va-bq2076w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_36.png"
laptop-asus-vivobook-14-x1404va-nk394w,Laptop ASUS Vivobook 14 X1404VA-NK394W ,10490000,Xem chi tiết: https://cellphones.com.vn/laptop-asus-vivobook-14-x1404va-nk394w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_1.png"
laptop-lenovo-ideapad-slim-3-16irh10-83k20002vn,Laptop Lenovo IdeaPad Slim 3 16IRH10 83K20002VN,14990000,Xem chi tiết: https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-16irh10-83k20002vn.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_3__5.png"
laptop-dell-15-dc15250-79n4m,Laptop Dell 15 DC15250 79N4M - Nhập khẩu chính hãng,11390000,Xem chi tiết: https://cellphones.com.vn/laptop-dell-15-dc15250-79n4m.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_744_1_54.png"
laptop-asus-vivobook-15-x1502va-bq886w,Laptop ASUS Vivobook 15 X1502VA-BQ886W,16990000,Xem chi tiết: https://cellphones.com.vn/laptop-asus-vivobook-15-x1502va-bq886w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_744_1_64.png"
apple-macbook-air-13-m4-10cpu-10gpu-24gb-512gb-2025,MacBook Air M4 13 inch 2025 10CPU 10GPU 24GB 512GB | Chính hãng Apple Việt Nam,34990000,Xem chi tiết: https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-10gpu-24gb-512gb-2025.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//m/a/macbook_2__21.png"
laptop-hp-envy-x360-14-fa0045au-a19bmpa,Laptop HP Envy X360 14-FA0045AU A19BMPA,30990000,Xem chi tiết: https://cellphones.com.vn/laptop-hp-envy-x360-14-fa0045au-a19bmpa.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_823_1_.png"
laptop-hp-15-fd0235tu-9q970pa,Laptop HP 15-FD0235TU 9Q970PA,15490000,Xem chi tiết: https://cellphones.com.vn/laptop-hp-15-fd0235tu-9q970pa.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_6.png"
laptop-dell-vostro-3530-2h1tpi5-16gb,Laptop Dell Vostro 3530 2H1TPI5 - Nhập khẩu chính hãng,13890000,Xem chi tiết: https://cellphones.com.vn/laptop-dell-vostro-3530-2h1tpi5-16gb.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_2__8.png"
laptop-asus-vivobook-s16-s5606ca-ri171ws,Laptop ASUS Vivobook S16 S5606CA-RI171WS,27190000,Xem chi tiết: https://cellphones.com.vn/laptop-asus-vivobook-s16-s5606ca-ri171ws.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_48.png"
laptop-lg-gram-2024-14z90s-g-ah55a5,Laptop LG Gram 2024 14Z90S-G.AH55A5,20990000,Xem chi tiết: https://cellphones.com.vn/laptop-lg-gram-2024-14z90s-g-ah55a5.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//t/e/text_d_i_4_17.png"
